Pair ID,FRUS_ID,Cables_ID,FRUS Link,Cables Link,SUBJECT,OTHER,COSINE,VERIFIED MATCH,TF_IDF_SCORE,PAIR_IN_OLD_MATCHES,Notes,Initial
676,frus1969-76ve11p2d324,1976STATE239313,history-lab.org/documents/frus1969-76ve11p2d324,history-lab.org/documents/1976STATE239313,Yes,,Yes,Match,0.856482,Yes,,JD
677,frus1977-80v16d198,1978STATE077899,history-lab.org/documents/frus1977-80v16d198,history-lab.org/documents/1978STATE077899,,,Yes,Match,0.856649,No,,JD
678,frus1969-76ve11p1d419,1976PORTA01019,history-lab.org/documents/frus1969-76ve11p1d419,history-lab.org/documents/1976PORTA01019,,,Yes,Match,0.856894,No,,JD
679,frus1977-80v26d398,1977STATE018228,history-lab.org/documents/frus1977-80v26d398,history-lab.org/documents/1977STATE018228,Yes,,Yes,Match,0.856991,No,,JD
680,frus1977-80v06d177,1979STATE047704,history-lab.org/documents/frus1977-80v06d177,history-lab.org/documents/1979STATE047704,Yes,,Yes,Match,0.857039,No,,JD
681,frus1969-76ve06d305,1976STATE289739,history-lab.org/documents/frus1969-76ve06d305,history-lab.org/documents/1976STATE289739,Yes,,Yes,Match,0.857233,Yes,,JD
682,frus1977-80v29d25,1977STATE053007,history-lab.org/documents/frus1977-80v29d25,history-lab.org/documents/1977STATE053007,,,Yes,Match,0.857304,No,,JD
683,frus1969-76v33d200,1978SECTO04122,history-lab.org/documents/frus1969-76v33d200,history-lab.org/documents/1978SECTO04122,Yes,,Yes,Match,0.857334,Yes,,JD
684,frus1969-76ve11p1d151,1973STATE168092,history-lab.org/documents/frus1969-76ve11p1d151,history-lab.org/documents/1973STATE168092,Yes,,Yes,Match,0.857559,No,,JD
685,frus1977-80v08d256,1978STATE159179,history-lab.org/documents/frus1977-80v08d256,history-lab.org/documents/1978STATE159179,Yes,,Yes,Match,0.857732,No,,JD
686,frus1977-80v16d102,1978STATE313177,history-lab.org/documents/frus1977-80v16d102,history-lab.org/documents/1978STATE313177,,,Yes,Match,0.85778,No,,JD
687,frus1977-80v26d448,1979STATE069906,history-lab.org/documents/frus1977-80v26d448,history-lab.org/documents/1979STATE069906,,,Yes,Match,0.858124,No,,JD
688,frus1969-76v27d236,1973BAGHDA00545,history-lab.org/documents/frus1969-76v27d236,history-lab.org/documents/1973BAGHDA00545,Yes,,Yes,Match,0.85839,Yes,,JD
689,frus1977-80v08d133,1977CAIRO17348,history-lab.org/documents/frus1977-80v08d133,history-lab.org/documents/1977CAIRO17348,,,Yes,Match,0.858479,No,,JD
690,frus1977-80v08d133,1977STATE251015,history-lab.org/documents/frus1977-80v08d133,history-lab.org/documents/1977STATE251015,,,Yes,Match,0.858479,No,,JD
691,frus1969-76ve11p2d143,1973SANTIA04802,history-lab.org/documents/frus1969-76ve11p2d143,history-lab.org/documents/1973SANTIA04802,,,Yes,Partial Match,0.858555,No,,JD
692,frus1969-76v37d228,1979STATE205196,history-lab.org/documents/frus1969-76v37d228,history-lab.org/documents/1979STATE205196,Yes,,Yes,Match,0.858661,No,,JD
693,frus1977-80v01d108,1979STATE010718,history-lab.org/documents/frus1977-80v01d108,history-lab.org/documents/1979STATE010718,,,Yes,Partial Match,0.858801,No,,JD
694,frus1969-76ve11p1d331,1973SANTO04815,history-lab.org/documents/frus1969-76ve11p1d331,history-lab.org/documents/1973SANTO04815,Yes,,Yes,Match,0.858968,No,,JD
695,frus1969-76ve06d191,1976STATE169766,history-lab.org/documents/frus1969-76ve06d191,history-lab.org/documents/1976STATE169766,Yes,,Yes,Match,0.859419,Yes,,JD
696,frus1969-76ve11p1d337,1974SANTO02015,history-lab.org/documents/frus1969-76ve11p1d337,history-lab.org/documents/1974SANTO02015,Yes,,Yes,Match,0.859484,No,,JD
697,frus1969-76ve14p2d113,1975STATE301860,history-lab.org/documents/frus1969-76ve14p2d113,history-lab.org/documents/1975STATE301860,,,Yes,Match,0.859501,No,,JD
698,frus1969-76ve11p1d419,1976STATE097598,history-lab.org/documents/frus1969-76ve11p1d419,history-lab.org/documents/1976STATE097598,,,Yes,Match,0.859685,No,,JD
699,frus1969-76ve06d269,1975KINSHA00641,history-lab.org/documents/frus1969-76ve06d269,history-lab.org/documents/1975KINSHA00641,Yes,,Yes,Match,0.859783,Yes,,JD
700,frus1977-80v03d87,1977TOKYO19510,history-lab.org/documents/frus1977-80v03d87,history-lab.org/documents/1977TOKYO19510,Yes,,Yes,Match,0.859884,Yes,,JD
701,frus1969-76ve11p1d419,1976PORTA01019_2,history-lab.org/documents/frus1969-76ve11p1d419,history-lab.org/documents/1976PORTA01019_2,Yes,,Yes,Match,0.859902,No,,JD
702,frus1969-76v38p1d77,1976STATE095349,history-lab.org/documents/frus1969-76v38p1d77,history-lab.org/documents/1976STATE095349,,,Yes,No Match,0.859914,No,,JD
703,frus1969-76ve11p1d238,1973MANAGU01648,history-lab.org/documents/frus1969-76ve11p1d238,history-lab.org/documents/1973MANAGU01648,Yes,,Yes,Match,0.860024,No,,JD
704,frus1969-76v27d46,1973TEHRAN08321,history-lab.org/documents/frus1969-76v27d46,history-lab.org/documents/1973TEHRAN08321,Yes,,Yes,Match,0.860253,Yes,,JD
705,frus1969-76v27d175,1976TEHRAN04921,history-lab.org/documents/frus1969-76v27d175,history-lab.org/documents/1976TEHRAN04921,,,Yes,No Match,0.860515,Yes,,JD
706,frus1977-80v08d133,1977STATE251633,history-lab.org/documents/frus1977-80v08d133,history-lab.org/documents/1977STATE251633,,,Yes,Partial Match,0.860547,No,,JD
707,frus1969-76ve11p1d366,1974STATE090957,history-lab.org/documents/frus1969-76ve11p1d366,history-lab.org/documents/1974STATE090957,,,Yes,Match,0.861487,No,,JD
708,frus1969-76ve08d59,1973TEHRAN04284,history-lab.org/documents/frus1969-76ve08d59,history-lab.org/documents/1973TEHRAN04284,,,Yes,Match,0.861548,Yes,,JD
709,frus1969-76ve14p2d89,1974MOSCOW15157,history-lab.org/documents/frus1969-76ve14p2d89,history-lab.org/documents/1974MOSCOW15157,,,Yes,Partial Match,0.861911,No,,JD
710,frus1969-76ve11p1d366,1974GEORGE00667,history-lab.org/documents/frus1969-76ve11p1d366,history-lab.org/documents/1974GEORGE00667,,,Yes,Match,0.861949,No,,JD
711,frus1977-80v30d158,1978PARIS35811,history-lab.org/documents/frus1977-80v30d158,history-lab.org/documents/1978PARIS35811,,,Yes,Partial Match,0.862054,No,,JD
712,frus1977-80v08d42,1977STATE140556,history-lab.org/documents/frus1977-80v08d42,history-lab.org/documents/1977STATE140556,,,Yes,Partial Match,0.862219,No,,JD
713,frus1977-80v30d121,1978STATE084801,history-lab.org/documents/frus1977-80v30d121,history-lab.org/documents/1978STATE084801,,,Yes,Match,0.862453,No,,JD
714,frus1969-76v39d213,1974STATE125466,history-lab.org/documents/frus1969-76v39d213,history-lab.org/documents/1974STATE125466,,,Yes,Match,0.862626,Yes,,JD
715,frus1969-76v27d223,1973BAGHDA00403,history-lab.org/documents/frus1969-76v27d223,history-lab.org/documents/1973BAGHDA00403,Yes,,Yes,Match,0.862727,Yes,,JD
716,frus1977-80v13d114,1978TAIPEI03352,history-lab.org/documents/frus1977-80v13d114,history-lab.org/documents/1978TAIPEI03352,,,Yes,Match,0.862839,No,,JD
717,frus1977-80v06d119,1978STATE136975,history-lab.org/documents/frus1977-80v06d119,history-lab.org/documents/1978STATE136975,Yes,,Yes,Match,0.862983,Yes,,JD
718,frus1969-76v26d208,1975SECTO06062,history-lab.org/documents/frus1969-76v26d208,history-lab.org/documents/1975SECTO06062,,,Yes,Match,0.863048,Yes,,JD
719,frus1969-76ve06d248,1973STATE208637,history-lab.org/documents/frus1969-76ve06d248,history-lab.org/documents/1973STATE208637,Yes,,Yes,Match,0.86305,Yes,,JD
720,frus1977-80v16d78,1978USUNN01102,history-lab.org/documents/frus1977-80v16d78,history-lab.org/documents/1978USUNN01102,,,Yes,Partial Match,0.863113,No,,JD
721,frus1977-80v26d90,1978GENEVA13849,history-lab.org/documents/frus1977-80v26d90,history-lab.org/documents/1978GENEVA13849,,,Yes,Match,0.863277,No,,JD
722,frus1977-80v02d182,1979GENEVA02571,history-lab.org/documents/frus1977-80v02d182,history-lab.org/documents/1979GENEVA02571,Yes,,Yes,Match,0.863364,No,,JD
723,frus1977-80v08d45,1977STATE152347,history-lab.org/documents/frus1977-80v08d45,history-lab.org/documents/1977STATE152347,,,Yes,Partial Match,0.863472,No,,JD
724,frus1969-76ve15p2d69,1975STATE114256,history-lab.org/documents/frus1969-76ve15p2d69,history-lab.org/documents/1975STATE114256,,,Yes,Partial Match,0.863802,No,,JD
725,frus1969-76ve14p2d143,1975GENEVA03225,history-lab.org/documents/frus1969-76ve14p2d143,history-lab.org/documents/1975GENEVA03225,,,Yes,Partial Match,0.863818,No,,JD
726,frus1969-76ve06d221,1974STATE130677,history-lab.org/documents/frus1969-76ve06d221,history-lab.org/documents/1974STATE130677,Yes,,Yes,Match,0.863882,Yes,,JD
727,frus1969-76ve09p1d46,1975STATE183000,history-lab.org/documents/frus1969-76ve09p1d46,history-lab.org/documents/1975STATE183000,,,Yes,No Match,0.864089,No,,JD
728,frus1977-80v20d82,1977STATE140378,history-lab.org/documents/frus1977-80v20d82,history-lab.org/documents/1977STATE140378,,,Yes,Match,0.864111,No,,JD
729,frus1969-76v39d222,1974STATE137770,history-lab.org/documents/frus1969-76v39d222,history-lab.org/documents/1974STATE137770,,,Yes,Match,0.864268,No,,JD
730,frus1977-80v18d232,1977STATE245537,history-lab.org/documents/frus1977-80v18d232,history-lab.org/documents/1977STATE245537,,,Yes,Match,0.864346,No,,JD
731,frus1977-80v08d205,1978STATE017232,history-lab.org/documents/frus1977-80v08d205,history-lab.org/documents/1978STATE017232,,,Yes,Partial Match,0.864423,No,,JD
732,frus1969-76ve11p2d54,1976BUENOS06208,history-lab.org/documents/frus1969-76ve11p2d54,history-lab.org/documents/1976BUENOS06208,,,Yes,Match,0.864554,No,,JD
733,frus1969-76ve11p2d108,1974STATE279836,history-lab.org/documents/frus1969-76ve11p2d108,history-lab.org/documents/1974STATE279836,Yes,,Yes,Match,0.864705,Yes,,JD
734,frus1969-76ve11p2d130,1974BRASIL04355,history-lab.org/documents/frus1969-76ve11p2d130,history-lab.org/documents/1974BRASIL04355,,,Yes,Partial Match,0.864874,No,,JD
735,frus1969-76ve06d174,1975STATE033501,history-lab.org/documents/frus1969-76ve06d174,history-lab.org/documents/1975STATE033501,,,Yes,Match,0.865235,Yes,DUPE,JD
736,frus1969-76v10d288,1975BANGKO08684,history-lab.org/documents/frus1969-76v10d288,history-lab.org/documents/1975BANGKO08684,,,Yes,Match,0.865287,Yes,,JD
737,frus1977-80v18d145,1977JIDDA00585,history-lab.org/documents/frus1977-80v18d145,history-lab.org/documents/1977JIDDA00585,Yes,,Yes,No Match,0.865357,No,,JD
738,frus1969-76v37d141,1977STATE299025,history-lab.org/documents/frus1969-76v37d141,history-lab.org/documents/1977STATE299025,,,Yes,Match,0.865441,No,,JD
739,frus1969-76v37d119,1977STATE049407,history-lab.org/documents/frus1969-76v37d119,history-lab.org/documents/1977STATE049407,,,Yes,Partial Match,0.865501,No,,JD
740,frus1977-80v26d351,1977STATE202154,history-lab.org/documents/frus1977-80v26d351,history-lab.org/documents/1977STATE202154,Yes,,Yes,Match,0.866088,Yes,,JD
741,frus1977-80v20d218,1979STATE259744,history-lab.org/documents/frus1977-80v20d218,history-lab.org/documents/1979STATE259744,Yes,,Yes,Match,0.866363,No,,JD
742,frus1977-80v26d411,1977CARACA03975,history-lab.org/documents/frus1977-80v26d411,history-lab.org/documents/1977CARACA03975,Yes,,Yes,Match,0.866497,Yes,,JD
743,frus1977-80v06d113,1978MOSCOW11859,history-lab.org/documents/frus1977-80v06d113,history-lab.org/documents/1978MOSCOW11859,Yes,,Yes,Match,0.866503,Yes,,JD
744,frus1969-76ve11p2d111,1975BRASIL02866,history-lab.org/documents/frus1969-76ve11p2d111,history-lab.org/documents/1975BRASIL02866,,,Yes,Match,0.866508,No,,JD
745,frus1969-76ve15p2d106,1973STATE085914,history-lab.org/documents/frus1969-76ve15p2d106,history-lab.org/documents/1973STATE085914,,,Yes,Partial Match,0.866543,No,,JD
746,frus1969-76ve08d223,1976STATE028315,history-lab.org/documents/frus1969-76ve08d223,history-lab.org/documents/1976STATE028315,Yes,,Yes,Match,0.866756,Yes,,JD
747,frus1977-80v08d192,1978STATE011071,history-lab.org/documents/frus1977-80v08d192,history-lab.org/documents/1978STATE011071,Yes,,Yes,Match,0.866789,Yes,,JD
748,frus1969-76ve11p1d406,1975PORTA00201,history-lab.org/documents/frus1969-76ve11p1d406,history-lab.org/documents/1975PORTA00201,Yes,,Yes,Match,0.866871,No,,JD
749,frus1969-76v39d351,1974STATE211141,history-lab.org/documents/frus1969-76v39d351,history-lab.org/documents/1974STATE211141,,,Yes,Match,0.86696,No,,JD
750,frus1977-80v29d217,1979PANAMA02588,history-lab.org/documents/frus1977-80v29d217,history-lab.org/documents/1979PANAMA02588,Yes,,Yes,Partial Match,0.866986,No,,JD
751,frus1969-76ve11p1d66,1974STATE144495,history-lab.org/documents/frus1969-76ve11p1d66,history-lab.org/documents/1974STATE144495,,,Yes,Partial Match,0.86748,No,,JD
752,frus1977-80v03d61,1977BRUSSE12692,history-lab.org/documents/frus1977-80v03d61,history-lab.org/documents/1977BRUSSE12692,Yes,,Yes,Match,0.867547,Yes,,JD
753,frus1969-76ve14p2d207,1976STATE220666,history-lab.org/documents/frus1969-76ve14p2d207,history-lab.org/documents/1976STATE220666,,,Yes,Partial Match,0.867766,No,,JD
754,frus1969-76v31d37,1973STATE050189,history-lab.org/documents/frus1969-76v31d37,history-lab.org/documents/1973STATE050189,Yes,,Yes,Match,0.867853,Yes,,JD
755,frus1969-76ve11p1d216,1975GUATEM06190,history-lab.org/documents/frus1969-76ve11p1d216,history-lab.org/documents/1975GUATEM06190,Yes,,Yes,Match,0.86792,No,,JD
756,frus1977-80v20d53,1977STATE200014,history-lab.org/documents/frus1977-80v20d53,history-lab.org/documents/1977STATE200014,Yes,,Yes,Match,0.868116,Yes,,JD
757,frus1977-80v21d51,1978STATE106179,history-lab.org/documents/frus1977-80v21d51,history-lab.org/documents/1978STATE106179,Yes,,Yes,Match,0.868164,No,,JD
758,frus1969-76ve11p1d416,1976PORTA00433,history-lab.org/documents/frus1969-76ve11p1d416,history-lab.org/documents/1976PORTA00433,Yes,,Yes,Match,0.868236,No,,JD
759,frus1977-80v26d284,1977STATE308915,history-lab.org/documents/frus1977-80v26d284,history-lab.org/documents/1977STATE308915,,,Yes,Match,0.868312,No,,JD
760,frus1969-76ve15p2d127,1973STATE220957,history-lab.org/documents/frus1969-76ve15p2d127,history-lab.org/documents/1973STATE220957,,,Yes,Match,0.868486,No,,JD
761,frus1977-80v02d51,1977STATE124544,history-lab.org/documents/frus1977-80v02d51,history-lab.org/documents/1977STATE124544,Yes,,Yes,Match,0.86872,Yes,,JD
762,frus1969-76ve09p1d98,1975STATE254913,history-lab.org/documents/frus1969-76ve09p1d98,history-lab.org/documents/1975STATE254913,Yes,,Yes,Match,0.868948,Yes,,JD
763,frus1969-76v31d233,1975ECBRU04022,history-lab.org/documents/frus1969-76v31d233,history-lab.org/documents/1975ECBRU04022,,,Yes,No Match,0.868991,No,,JD
764,frus1969-76ve14p2d47,1974STATE104508,history-lab.org/documents/frus1969-76ve14p2d47,history-lab.org/documents/1974STATE104508,,,Yes,Match,0.869016,No,,JD
765,frus1969-76v27d129,1975SECTO02020,history-lab.org/documents/frus1969-76v27d129,history-lab.org/documents/1975SECTO02020,,,Yes,Partial Match,0.8691,No,,JD
766,frus1977-80v16d197,1978STATE063462,history-lab.org/documents/frus1977-80v16d197,history-lab.org/documents/1978STATE063462,,,Yes,Match,0.869129,No,,JD
767,frus1969-76ve11p1d368,1974STATE182088,history-lab.org/documents/frus1969-76ve11p1d368,history-lab.org/documents/1974STATE182088,Yes,,Yes,Match,0.86928,No,,JD
768,frus1977-80v06d106,1978MOSCOW11713,history-lab.org/documents/frus1977-80v06d106,history-lab.org/documents/1978MOSCOW11713,,,Yes,Match,0.869358,No,,JD
769,frus1977-80v21d139,1979STATE121617,history-lab.org/documents/frus1977-80v21d139,history-lab.org/documents/1979STATE121617,Yes,,Yes,Match,0.869588,No,,JD
770,frus1977-80v26d217,1978STATE239652,history-lab.org/documents/frus1977-80v26d217,history-lab.org/documents/1978STATE239652,,,Yes,Partial Match,0.870478,No,,JD
771,frus1969-76ve08d98,1976COLOMB03520,history-lab.org/documents/frus1969-76ve08d98,history-lab.org/documents/1976COLOMB03520,Yes,,Yes,Match,0.870596,Yes,,JD
772,frus1977-80v21d64,1979NICOSI00826,history-lab.org/documents/frus1977-80v21d64,history-lab.org/documents/1979NICOSI00826,Yes,,Yes,Match,0.870861,No,,JD
773,frus1969-76v28d211,1976STATE239414,history-lab.org/documents/frus1969-76v28d211,history-lab.org/documents/1976STATE239414,Yes,,Yes,Partial Match,0.871139,Yes,,JD
774,frus1969-76ve14p2d47,1974NEWDE06591,history-lab.org/documents/frus1969-76ve14p2d47,history-lab.org/documents/1974NEWDE06591,,,Yes,Match,0.871176,No,,JD
775,frus1977-80v08d74,1977SECTO08098,history-lab.org/documents/frus1977-80v08d74,history-lab.org/documents/1977SECTO08098,,,Yes,Match,0.871193,No,,JD
776,frus1977-80v01d17,1977STATE020929,history-lab.org/documents/frus1977-80v01d17,history-lab.org/documents/1977STATE020929,,,Yes,Match,0.871379,No,,JD
777,frus1977-80v06d171,1979STATE038921,history-lab.org/documents/frus1977-80v06d171,history-lab.org/documents/1979STATE038921,,,Yes,Match,0.871485,No,,JD
778,frus1969-76v27d144,1975TEHRAN08946,history-lab.org/documents/frus1969-76v27d144,history-lab.org/documents/1975TEHRAN08946,Yes,,Yes,Match,0.871672,Yes,,JD
779,frus1969-76ve08d118,1973STATE049943,history-lab.org/documents/frus1969-76ve08d118,history-lab.org/documents/1973STATE049943,Yes,,Yes,Match,0.871979,Yes,,JD
780,frus1969-76ve08d118,1973STATE050759,history-lab.org/documents/frus1969-76ve08d118,history-lab.org/documents/1973STATE050759,,,Yes,Match,0.871979,Yes,,JD
781,frus1969-76ve06d105,1974ADDIS00001,history-lab.org/documents/frus1969-76ve06d105,history-lab.org/documents/1974ADDIS00001,,,Yes,Partial Match,0.872016,Yes,,JD
782,frus1977-80v08d146,1977STATE271710,history-lab.org/documents/frus1977-80v08d146,history-lab.org/documents/1977STATE271710,Yes,,Yes,Match,0.872105,Yes,,JD
783,frus1977-80v02d115,1978STATE036188,history-lab.org/documents/frus1977-80v02d115,history-lab.org/documents/1978STATE036188,Yes,,Yes,Match,0.87222,Yes,,JD
784,frus1977-80v20d178,1977BUCHAR02608,history-lab.org/documents/frus1977-80v20d178,history-lab.org/documents/1977BUCHAR02608,,,Yes,Partial Match,0.872712,No,,JD
785,frus1977-80v01d92,1978BONN13066,history-lab.org/documents/frus1977-80v01d92,history-lab.org/documents/1978BONN13066,,,Yes,Match,0.872746,No,,JD
786,frus1969-76ve11p2d35,1976BUENOS01373,history-lab.org/documents/frus1969-76ve11p2d35,history-lab.org/documents/1976BUENOS01373,Yes,,Yes,Match,0.872751,Yes,,JD
787,frus1977-80v06d111,1978STATE134109,history-lab.org/documents/frus1977-80v06d111,history-lab.org/documents/1978STATE134109,,,Yes,Match,0.872852,No,,JD
788,frus1977-80v08d159,1977STATE282008,history-lab.org/documents/frus1977-80v08d159,history-lab.org/documents/1977STATE282008,Yes,,Yes,Partial Match,0.87314,No,,JD
789,frus1977-80v08d69,1977SECTO08051,history-lab.org/documents/frus1977-80v08d69,history-lab.org/documents/1977SECTO08051,,,Yes,Match,0.873207,No,,JD
790,frus1977-80v21d180,1978STATE197784,history-lab.org/documents/frus1977-80v21d180,history-lab.org/documents/1978STATE197784,,,Yes,Match,0.873428,No,,JD
791,frus1969-76ve11p2d276,1976STATE058331,history-lab.org/documents/frus1969-76ve11p2d276,history-lab.org/documents/1976STATE058331,,,Yes,Match,0.873658,No,,JD
792,frus1969-76ve11p1d188,1974GUATEM04939,history-lab.org/documents/frus1969-76ve11p1d188,history-lab.org/documents/1974GUATEM04939,Yes,,Yes,Match,0.874223,No,,JD
793,frus1977-80v08d75,1977STATE187205,history-lab.org/documents/frus1977-80v08d75,history-lab.org/documents/1977STATE187205,,,Yes,No Match,0.874318,No,,JD
794,frus1969-76ve14p2d168,1975STATE012344,history-lab.org/documents/frus1969-76ve14p2d168,history-lab.org/documents/1975STATE012344,,,Yes,Partial Match,0.874327,No,,JD
795,frus1969-76v30d57,1975ATHENS10150,history-lab.org/documents/frus1969-76v30d57,history-lab.org/documents/1975ATHENS10150,,,Yes,Match,0.874367,Yes,,JD
796,frus1969-76v27d257,1974BAGHDA00479,history-lab.org/documents/frus1969-76v27d257,history-lab.org/documents/1974BAGHDA00479,Yes,,Yes,Match,0.874457,Yes,,JD
797,frus1977-80v08d75,1977SECTO08102,history-lab.org/documents/frus1977-80v08d75,history-lab.org/documents/1977SECTO08102,,,Yes,No Match,0.874516,No,,JD
798,frus1977-80v08d94,1977STATE194978,history-lab.org/documents/frus1977-80v08d94,history-lab.org/documents/1977STATE194978,,,Yes,Match,0.874598,No,,JD
799,frus1977-80v26d433,1978BRASIL02704,history-lab.org/documents/frus1977-80v26d433,history-lab.org/documents/1978BRASIL02704,,,Yes,Partial Match,0.874598,No,,JD
800,frus1969-76v37d84,1975STATE231000,history-lab.org/documents/frus1969-76v37d84,history-lab.org/documents/1975STATE231000,Yes,,Yes,Match,0.874792,Yes,,JD
801,frus1977-80v16d183,1978VALLET00117,history-lab.org/documents/frus1977-80v16d183,history-lab.org/documents/1978VALLET00117,,,Yes,Match,0.874991,No,,JD
802,frus1969-76ve11p1d342,1974SANTO03723,history-lab.org/documents/frus1969-76ve11p1d342,history-lab.org/documents/1974SANTO03723,Yes,,Yes,Match,0.87507,No,,JD
803,frus1977-80v16d355,1979STATE085899,history-lab.org/documents/frus1977-80v16d355,history-lab.org/documents/1979STATE085899,Yes,,Yes,Match,0.875244,No,,JD
804,frus1969-76ve14p2d64,1974LONDON08366,history-lab.org/documents/frus1969-76ve14p2d64,history-lab.org/documents/1974LONDON08366,Yes,,Yes,Match,0.875698,No,,JD
805,frus1977-80v20d189,1978STATE023063,history-lab.org/documents/frus1977-80v20d189,history-lab.org/documents/1978STATE023063,Yes,,Yes,Match,0.87597,Yes,,JD
806,frus1977-80v13d185,1978STATE328090,history-lab.org/documents/frus1977-80v13d185,history-lab.org/documents/1978STATE328090,,,Yes,Match,0.876167,No,,JD
807,frus1969-76v27d45,1973TEHRAN08233,history-lab.org/documents/frus1969-76v27d45,history-lab.org/documents/1973TEHRAN08233,Yes,,Yes,Match,0.876176,Yes,,JD
808,frus1977-80v13d234,1979BEIJIN01663,history-lab.org/documents/frus1977-80v13d234,history-lab.org/documents/1979BEIJIN01663,Yes,,Yes,Match,0.876178,No,,JD
809,frus1977-80v02d39,1977STATE098034,history-lab.org/documents/frus1977-80v02d39,history-lab.org/documents/1977STATE098034,,,Yes,Match,0.87631,No,,JD
810,frus1977-80v02d312,1978STATE107370,history-lab.org/documents/frus1977-80v02d312,history-lab.org/documents/1978STATE107370,,,Yes,Match,0.876467,No,,JD
811,frus1977-80v02d317,1978MOSCOW22011,history-lab.org/documents/frus1977-80v02d317,history-lab.org/documents/1978MOSCOW22011,,,Yes,Match,0.876584,No,,JD
812,frus1969-76ve11p1d291,1974STATE279669,history-lab.org/documents/frus1969-76ve11p1d291,history-lab.org/documents/1974STATE279669,Yes,,Yes,Match,0.876586,No,,JD
813,frus1977-80v16d46,1977STATE043645,history-lab.org/documents/frus1977-80v16d46,history-lab.org/documents/1977STATE043645,Yes,,Yes,Match,0.87662,No,,JD
814,frus1969-76v33d229,1978SECTO15013,history-lab.org/documents/frus1969-76v33d229,history-lab.org/documents/1978SECTO15013,Yes,,Yes,Match,0.876662,Yes,,JD
815,frus1977-80v01d63,1978STATE003582,history-lab.org/documents/frus1977-80v01d63,history-lab.org/documents/1978STATE003582,,,Yes,No Match,0.876956,No,,JD
816,frus1969-76ve09p1d50,1976STATE090244,history-lab.org/documents/frus1969-76ve09p1d50,history-lab.org/documents/1976STATE090244,Yes,,Yes,Match,0.876989,No,,JD
817,frus1969-76v27d129,1975SECTO02017,history-lab.org/documents/frus1969-76v27d129,history-lab.org/documents/1975SECTO02017,,,Yes,Partial Match,0.877254,Yes,"Stock message, sent to OPEC countries",JD
818,frus1969-76ve15p2d59,1974BONN09398,history-lab.org/documents/frus1969-76ve15p2d59,history-lab.org/documents/1974BONN09398,Yes,,Yes,Match,0.877355,No,,JD
819,frus1969-76ve14p2d205,1976STATE202999,history-lab.org/documents/frus1969-76ve14p2d205,history-lab.org/documents/1976STATE202999,,,Yes,Match,0.87758,No,,JD
820,frus1969-76ve09p1d46,1975CAIRO07613,history-lab.org/documents/frus1969-76ve09p1d46,history-lab.org/documents/1975CAIRO07613,,,Yes,Match,0.877597,No,,JD
821,frus1969-76ve11p1d20,1974STATE169437,history-lab.org/documents/frus1969-76ve11p1d20,history-lab.org/documents/1974STATE169437,Yes,,Yes,Match,0.87828,No,,JD
822,frus1977-80v01d67,1978STATE003466,history-lab.org/documents/frus1977-80v01d67,history-lab.org/documents/1978STATE003466,,,Yes,No Match,0.878319,No,,JD
823,frus1977-80v16d87,1978STATE164009,history-lab.org/documents/frus1977-80v16d87,history-lab.org/documents/1978STATE164009,,,Yes,Match,0.87847,No,,JD
824,frus1969-76ve09p1d8,1973STATE051869,history-lab.org/documents/frus1969-76ve09p1d8,history-lab.org/documents/1973STATE051869,,,Yes,Match,0.878528,No,,JD
825,frus1977-80v29d27,1977GUATEM01729,history-lab.org/documents/frus1977-80v29d27,history-lab.org/documents/1977GUATEM01729,,,Yes,Partial Match,0.878678,No,,JD
826,frus1969-76ve14p2d148,1975STATE133038,history-lab.org/documents/frus1969-76ve14p2d148,history-lab.org/documents/1975STATE133038,,,Yes,Partial Match,0.878986,No,,JD
827,frus1969-76v31d229,1975GENEVA00972,history-lab.org/documents/frus1969-76v31d229,history-lab.org/documents/1975GENEVA00972,,,Yes,Match,0.879056,Yes,,JD
828,frus1969-76ve06d32,1976DAKAR00023,history-lab.org/documents/frus1969-76ve06d32,history-lab.org/documents/1976DAKAR00023,Yes,,Yes,Match,0.879094,Yes,,JD
829,frus1969-76ve06d32,1976STATE001423,history-lab.org/documents/frus1969-76ve06d32,history-lab.org/documents/1976STATE001423,Yes,,Yes,Match,0.879094,Yes,,JD
830,frus1969-76ve06d32,1976STATE001433,history-lab.org/documents/frus1969-76ve06d32,history-lab.org/documents/1976STATE001433,Yes,,Yes,Match,0.879094,No,,JD
831,frus1977-80v06d64,1977STATE293775,history-lab.org/documents/frus1977-80v06d64,history-lab.org/documents/1977STATE293775,Yes,,Yes,Match,0.879267,No,,JD
832,frus1969-76v31d229,1975STATE036616,history-lab.org/documents/frus1969-76v31d229,history-lab.org/documents/1975STATE036616,,,Yes,Match,0.879359,Yes,,JD
833,frus1969-76ve11p2d34,1976STATE043282,history-lab.org/documents/frus1969-76ve11p2d34,history-lab.org/documents/1976STATE043282,,,Yes,No Match,0.879363,No,,JD
834,frus1977-80v20d119,1977STATE241035,history-lab.org/documents/frus1977-80v20d119,history-lab.org/documents/1977STATE241035,,,Yes,Match,0.879563,No,,JD
835,frus1977-80v06d35,1977STATE155491,history-lab.org/documents/frus1977-80v06d35,history-lab.org/documents/1977STATE155491,Yes,,Yes,Match,0.879602,Yes,,JD
836,frus1969-76ve09p1d37,1975STATE008469,history-lab.org/documents/frus1969-76ve09p1d37,history-lab.org/documents/1975STATE008469,Yes,,Yes,Match,0.879673,Yes,,JD
